escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 tapado,4,1,Presion alta,Contragolpe,77243,true,7.0,0.0,7.0,13.0,43.2343234323432,41.0,9.0,55.0,4.0,0.0,0.0,2.0,0.0,963.0,92.2632727272727,0.0,963.0,47.84,35.0986500519211,24.0,3.11458333333333,3.0,15035.3668356231,322.733,364.474
D5 parejo,5,5,Tiki taka,Juego directo,77100,true,2.0,0.0,2.0,9.0,42.9515418502203,51.0,22.0,68.0,1.0,1.0,0.0,0.0,0.0,989.0,91.8967272727273,0.0,989.0,55.6242274412855,18.2002022244692,39.0,2.88461538461538,11.0,17921.6193994875,382.503,387.131
D5 parejo,5,5,Tiki taka,Juego directo,77113,true,2.0,1.0,1.0,8.0,50.4975124378109,51.0,12.0,66.0,3.0,0.0,2.0,2.0,0.0,961.0,91.6970909090909,0.0,961.0,54.1609822646658,23.7252861602497,27.0,3.67592592592593,5.0,17275.2997964256,332.371,372.515
D5 parejo,5,5,Tiki taka,Juego directo,77126,true,2.0,1.0,1.0,7.0,48.8549618320611,39.0,19.0,63.0,1.0,0.0,2.0,0.0,0.0,960.0,91.1603636363636,0.0,960.0,51.9893899204244,21.4583333333333,33.0,2.96969696969697,6.0,18317.4897881276,311.955,360.174
D5 parejo,5,5,Tiki taka,Juego directo,77139,true,1.0,1.0,0.0,10.0,50.8728179551122,42.0,18.0,62.0,4.0,0.0,0.0,2.0,0.0,964.0,91.8247272727273,0.0,964.0,54.1208791208791,24.4813278008299,40.0,2.4625,13.0,16595.0441338858,322.833,372.021
D5 parejo,5,5,Tiki taka,Juego directo,77152,true,1.0,0.0,1.0,6.0,47.737556561086,52.0,21.0,73.0,1.0,0.0,3.0,0.0,0.0,966.0,93.7687272727273,0.0,966.0,54.4444444444444,16.1490683229814,37.0,2.97972972972973,10.0,19705.1516577608,373.265,465.613
D5 parejo,5,5,Tiki taka,Juego directo,77165,true,1.0,0.0,1.0,6.0,44.9664429530201,44.0,22.0,67.0,1.0,0.0,1.0,1.0,0.0,994.0,91.8770909090909,0.0,994.0,54.1666666666667,17.907444668008,36.0,3.06944444444444,11.0,17136.9629344804,379.563,415.322
D5 parejo,5,5,Tiki taka,Juego directo,77178,true,2.0,1.0,1.0,7.0,53.6585365853659,42.0,15.0,57.0,2.0,0.0,0.0,0.0,0.0,960.0,91.7854545454545,0.0,960.0,54.9865229110512,22.7083333333333,29.0,3.51724137931034,5.0,17604.0587563791,345.911,426.448
D5 parejo,5,5,Tiki taka,Juego directo,77191,true,1.0,1.0,0.0,3.0,52.4444444444444,41.0,19.0,62.0,2.0,0.0,1.0,1.0,0.0,960.0,88.1625454545455,0.0,960.0,56.4720812182741,17.9166666666667,35.0,3.17857142857143,8.0,17569.6168787018,342.294,420.171
D5 parejo,5,5,Tiki taka,Juego directo,77204,true,3.0,3.0,0.0,9.0,56.3380281690141,52.0,15.0,67.0,1.0,0.0,0.0,1.0,0.0,992.0,91.5236363636364,0.0,992.0,53.4005037783375,19.9596774193548,33.0,3.21212121212121,7.0,17458.7483043565,332.404,415.037
D5 parejo,5,5,Tiki taka,Juego directo,77217,true,3.0,1.0,2.0,9.0,41.1471321695761,49.0,15.0,63.0,5.0,0.0,0.0,2.0,0.0,1001.0,90.0312727272727,0.0,1001.0,55.8533145275035,29.1708291708292,29.0,3.41379310344828,5.0,14966.4119313909,335.482,377.557
D5 parejo,5,5,Tiki taka,Juego directo,77230,true,2.0,2.0,0.0,9.0,57.9545454545455,42.0,16.0,55.0,0.0,0.0,0.0,0.0,0.0,963.0,89.3603636363636,0.0,963.0,53.9506172839506,15.8878504672897,37.0,2.9527027027027,9.0,18407.9927788461,370.1,419.493
D5 parejo,5,5,Tiki taka,Juego directo,77243,true,2.0,0.0,2.0,10.0,42.7440633245383,40.0,20.0,67.0,2.0,0.0,1.0,0.0,0.0,1023.0,90.7938181818182,0.0,1023.0,50.8152173913044,28.0547409579668,36.0,2.59722222222222,7.0,15591.2480060257,384.112,400.241
